# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    152     57      -     57     42      0      0      0      0  14801   2812      0      0  11025     68      0      -      -      0     15      6 
    0    183     69      -      4      2      0      0      0      0  14801   2782      0      0  13089     68      0      -      -      0    149     60 
    0    303     70      -    100     50      0      0      0      0  14801   2752      0      0  13089     68      0      -      -      0    143     47 
    0    295     69      -    100     52      0      0      0      0  14801   2760      0      0  13089     68      0      -      -      0    237     60 
    0    264     68      -     92     64      0      0      0      0  14801   2745      0      0  13089     68      0      -      -      0    232     68 
    0    266     68      -     93     68      0      0      0      0  14801   2745      0      0  13089     68      0      -      -      0    236    103 
    0    264     68      -     93     70      0      0      0      0  14801   2752      0      0  13089     68      0      -      -      0    214     63 
    0    265     68      -     93     71      0      0      0      0  14801   2752      0      0  13089     68      0      -      -      0    335     74 
    0    264     68      -     94     72      0      0      0      0  14801   2752      0      0  13089     68      0      -      -      0    223     62 
    0    264     68      -     94     72      0      0      0      0  14801   2752      0      0  13089     68      0      -      -      0    403     58 
    0    263     67      -     94     72      0      0      0      0  14801   2752      0      0  13089     68      0      -      -      0    210     60 
    0    262     67      -     94     72      0      0      0      0  14801   2752      0      0  13089     68      0      -      -      0    280     73 
    0    261     67      -     94     72      0      0      0      0  14801   2760      0      0  13089     68      0      -      -      0    187     37 
    0    260     67      -     89     69      0      0      0      0  14801   2760      0      0  13269     68      0      -      -      0    240     79 
    0    258     67      -     94     73      0      0      0      0  14801   2752      0      0  13317     68      0      -      -      0    308     91 
    0    232     60      -     94     73      0      0      0      0  14801   2760      0      0  13461     68      0      -      -      0    121     48 
