# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    162     51      -      4      2      0      0      0      0  14801   2805      0      0  13600     68      0      -      -      0    120     26 
    0    234     65      -    100     52      0      0      0      0  14801   2775      0      0  13584     68      0      -      -      0    246     34 
    0    254     59      -     91     57      0      0      0      0  14801   2790      0      0  14696     68      0      -      -      0    277     52 
    0    208     58      -     91     58      0      0      0      0  14801   2790      0      0  14696     68      0      -      -      0    271     53 
    0    208     59      -     91     58      0      0      0      0  14801   2797      0      0  14696     68      0      -      -      0    262     53 
    0    210     59      -     92     60      0      0      0      0  14801   2790      0      0  14695     68      0      -      -      0    349     70 
    0    210     59      -     92     60      0      0      0      0  14801   2797      0      0  14695     68      0      -      -      0    256     52 
    0    212     59      -     92     62      0      0      0      0  14801   2797      0      0  14687     68      0      -      -      0    355     56 
    0    213     59      -     92     63      0      0      0      0  14801   2797      0      0  14687     68      0      -      -      0    265     73 
    0    214     59      -     92     64      0      0      0      0  14801   2797      0      0  14687     68      0      -      -      0    446     69 
    0    215     59      -     92     66      0      0      0      0  14801   2797      0      0  14687     68      0      -      -      0    249    107 
    0    216     59      -     92     67      0      0      0      0  14801   2797      0      0  14679     68      0      -      -      0    218     26 
