# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    148     58      -     90     61      0      0      0      0  14801   2805      0      0   9897     68      0      -      -      0    111      6 
    0    196     71      -     87     45      0      0      0      0  14801   2775      0      0  10929     68      0      -      -      0     29     26 
    0    262     65      -    100     51      0      0      0      0  14801   2775      0      0  10929     68      0      -      -      0    382     71 
    0    214     65      -     91     58      0      0      0      0  14801   2782      0      0  10929     68      0      -      -      0    366     71 
    0    215     65      -     91     58      0      0      0      0  14801   2775      0      0  10929     68      0      -      -      0    354     70 
    0    216     65      -     91     60      0      0      0      0  14801   2782      0      0  10929     68      0      -      -      0    348     54 
    0    218     65      -     91     62      0      0      0      0  14801   2782      0      0  10929     68      0      -      -      0    262     71 
    0    220     65      -     92     63      0      0      0      0  14801   2782      0      0  10929     68      0      -      -      0    354     83 
    0    221     65      -     92     64      0      0      0      0  14801   2782      0      0  10929     68      0      -      -      0    261     49 
    0    221     65      -     92     65      0      0      0      0  14801   2782      0      0  10929     68      0      -      -      0    439     72 
    0    221     64      -     92     67      0      0      0      0  14801   2782      0      0  10953     68      0      -      -      0    248     69 
    0    217     63      -     57     42      0      0      0      0  14801   2782      0      0  11025     68      0      -      -      0    118     25 
