# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    136     56      -     15     11      0      0      0      0  14801   2812      0      0  11066     68      0      -      -      0     18      6 
    0    203     69      -     70     36      0      0      0      0  14801   2782      0      0  13130     68      0      -      -      0    261     42 
    0    302     71      -    100     47      0      0      0      0  14801   2760      0      0  13130     68      0      -      -      0     47     67 
    0    292     67      -    100     47      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    243     80 
    0    264     67      -     92     63      0      0      0      0  14801   2745      0      0  13130     68      0      -      -      0    234     61 
    0    263     67      -     93     64      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    316     65 
    0    262     67      -     93     69      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    315     86 
    0    262     67      -     93     70      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    210     38 
    0    263     67      -     94     72      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    219     57 
    0    261     67      -     93     71      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    217     42 
    0    260     67      -     95     62      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    378   7499 
    0    235     66      -     94     72      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    190     61 
    0    260     67      -     94     72      0      0      0      0  14801   2752      0      0  13130     68      0      -      -      0    261     62 
    0    259     67      -     95     73      0      0      0      0  14801   2752      0      0  13218     68      0      -      -      0    186     56 
    0    259     66      -     94     73      0      0      0      0  14801   2760      0      0  13400     68      0      -      -      0    226     58 
    0    257     66      -     95     74      0      0      0      0  14801   2760      0      0  13592     68      0      -      -      0     15      6 
