# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0    191     58      -     89     64      0      0      0      0  14801   2805      0      0   9446     68      0      -      -      0     17      6 
    0    181     66      -    100     40      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    398     62 
    0    195     60      -     91     57      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    306     56 
    0    196     60      -     91     58      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    501     82 
    0    198     60      -     90     58      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    304     57 
    0    199     60      -     91     59      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    386     65 
    0    200     60      -     91     58      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    306     57 
    0    201     60      -     91     59      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    294     57 
    0    201     60      -     91     59      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    300     97 
    0    201     61      -     90     60      0      0      0      0  14801   2797      0      0   9962     68      0      -      -      0    359     26 
